subject,grade_group,type,question,options,correct_answer,explanation,key_points
语文,小学低年级,单选,下面哪个字表示数字二？,一|二|三|四,二,字形和数字含义要对应起来,
语文,小学低年级,判断,写完一句完整的话后常常可以用句号结束。,,对,句号通常放在陈述句末尾,
语文,小学低年级,简答,量词有什么作用？,,量词用来表示人或事物的数量单位。,数量/多少;单位
数学,小学低年级,单选,5加4等于多少？,7|8|9|10,9,5和4相加得到9,
数学,小学低年级,判断,比7大1的数是8。,,对,7再加1就是8,
数学,小学低年级,简答,什么叫做加法？,,加法是把两个或几个数合并成一个数的运算。,合并;数;运算
数学,小学低年级,单选,12里面有几个十？,1|2|3|12,1,12由1个十和2个一组成,
语文,小学中年级,单选,下列哪一项最像拟声词？,明亮|哗啦|安静|整齐,哗啦,拟声词是模拟声音的词语,
语文,小学中年级,判断,比喻句可以让表达更生动。,,对,比喻能够增强形象感,
语文,小学中年级,简答,概括自然段大意时要抓什么？,,要抓住这一段写的主要内容和重点信息。,主要内容;重点信息
数学,小学中年级,单选,48除以6等于多少？,6|7|8|9,8,48÷6=8,
数学,小学中年级,判断,周长只和图形边线的总长度有关。,,对,周长就是边线长度的总和,
数学,小学中年级,简答,什么是平行线？,,在同一平面内永不相交的两条直线叫平行线。,同一平面;不相交;直线
英语,小学中年级,单选,How are you? 常见回答是哪一个？,Goodbye|Fine thank you|Stand up|Open it,Fine thank you,这是日常问候的常见回答,
英语,小学中年级,判断,apple 是一个表示水果的英语单词。,,对,apple 的意思是苹果,
英语,小学中年级,简答,什么时候常用 there are？,,当后面是复数名词时常用 there are。,复数;名词
科学,小学中年级,单选,植物吸收水分主要依靠哪个部位？,花|根|果实|种子,根,根能够从土壤中吸收水和无机盐,
科学,小学中年级,判断,空气虽然看不见但是真实存在。,,对,空气占据空间并且有质量,
科学,小学中年级,简答,水循环包括哪些常见过程？,,水循环常见过程有蒸发凝结和降水。,蒸发;凝结;降水
语文,小学高年级,单选,下列哪一项更像人物描写？,天空很蓝|他紧张得手心冒汗|今天下雨了|教室很大,他紧张得手心冒汗,人物描写常体现动作神态心理,
语文,小学高年级,判断,缩写文章时需要保留中心意思。,,对,缩写要简洁但不能丢掉主旨,
语文,小学高年级,简答,说明方法有什么作用？,,说明方法可以帮助把事物特点说得更清楚更具体。,事物特点;更清楚/具体
数学,小学高年级,单选,0.75化成分数最简结果是？,3/4|7/5|75/10|4/3,3/4,0.75等于75/100 约分后是3/4,
数学,小学高年级,判断,一个三角形三个内角和总是180度。,,对,三角形内角和定理是基础结论,
数学,小学高年级,简答,什么叫做比例？,,表示两个比相等的式子叫做比例。,两个比;相等;式子
英语,小学高年级,单选,Which word is a verb?,run|blue|happy|desk,run,run 表示动作,
英语,小学高年级,判断,We went home yesterday. 这句话是过去时。,,对,went 是 go 的过去式,
英语,小学高年级,简答,一般现在时常用来表示什么？,,一般现在时常表示经常发生的动作或客观事实。,经常发生;客观事实
科学,小学高年级,单选,地球绕着谁公转？,月球|太阳|火星|木星,太阳,地球公转中心是太阳,
科学,小学高年级,判断,食物链中绿色植物通常属于生产者。,,对,绿色植物能通过光合作用制造有机物,
科学,小学高年级,简答,为什么要节约用电？,,节约用电可以减少能源浪费也有助于保护环境。,能源浪费;保护环境
语文,初中,单选,《木兰诗》属于哪种体裁？,散文|乐府诗|小说|戏剧,乐府诗,《木兰诗》是北朝民歌中的代表作之一,
语文,初中,判断,记叙文中可以通过环境描写烘托人物心情。,,对,环境描写常服务于人物和情节,
语文,初中,简答,赏析句子时通常可以从哪些角度入手？,,可以从修辞词语表达效果和情感作用等角度入手。,修辞;词语;表达效果;情感
数学,初中,单选,方程 2x+3=11 的解是多少？,3|4|5|6,4,移项后 2x=8 所以 x=4,
数学,初中,判断,二次函数图像一定是抛物线。,,对,二次函数的图像特征就是抛物线,
数学,初中,简答,什么是全等三角形？,,能够完全重合的两个三角形叫做全等三角形。,完全重合;两个三角形
英语,初中,单选,He has lived here ___ three years.,for|since|from|at,for,for 后面接一段时间,
英语,初中,判断,被动语态中常出现 be 动词和过去分词。,,对,这是被动语态的基本结构,
英语,初中,简答,宾语从句的语序有什么特点？,,宾语从句通常用陈述语序。,陈述语序
物理,初中,单选,声音在空气中传播需要什么？,真空|介质|光线|磁场,介质,声音传播需要介质,
物理,初中,判断,速度等于路程除以时间。,,对,这是速度的基本定义式,
物理,初中,简答,什么是压强？,,压强表示单位面积上受到的压力大小。,单位面积;压力大小
化学,初中,单选,空气中体积分数最多的气体是？,氧气|氮气|二氧化碳|水蒸气,氮气,空气中氮气含量最高,
化学,初中,判断,铁生锈属于化学变化。,,对,铁锈是新物质,
化学,初中,简答,什么是溶液？,,一种或几种物质分散到另一种物质中形成均一稳定的混合物叫溶液。,均一;稳定;混合物
